location,line,column,message,toolname,toolversion
/home/david/aixcc/src/main.c,12,5,"2nd function call argument is an uninitialized value [clang-analyzer-core.CallAndMessage,-warnings-as-errors] ",clang-tidy,
/home/david/aixcc/src/main.c,39,5,"the value returned by this function should not be disregarded; neglecting it may lead to errors [cert-err33-c,-warnings-as-errors] ",clang-tidy,
/home/david/aixcc/src/main.c,39,5,"Call to function 'scanf' is insecure as it does not provide bounding of the memory buffer or security checks introduced in the C11 standard. Replace with analogous functions that support length arguments or provides boundary checks such as 'scanf_s' in case of C11 [clang-analyzer-security.insecureAPI.DeprecatedOrUnsafeBufferHandling,-warnings-as-errors] ",clang-tidy,
/home/david/aixcc/src/main.c,41,5,"Call to function 'strcpy' is insecure as it does not provide bounding of the memory buffer. Replace unbounded copy functions with analogous functions that support length arguments such as 'strlcpy'. CWE-119 [clang-analyzer-security.insecureAPI.strcpy,-warnings-as-errors] ",clang-tidy,
